time,sea_water_temperature,mass_concentration_of_chlorophyll_in_sea_water
UTC,degree_Celsius,microg.L-1
2019-01-02T13:48:00Z,10.14,17.77
2019-01-02T13:54:00Z,10.14,19.69
2019-01-02T14:00:00Z,10.255,5.7
2019-01-02T14:06:00Z,10.15,1.04
2019-01-02T14:12:00Z,10.15,1.04
2019-01-02T14:18:00Z,10.18,0.98
2019-01-02T14:24:00Z,10.19,0.96
2019-01-02T14:30:00Z,10.21,0.95
2019-01-02T14:36:00Z,10.22,0.95
2019-01-02T14:42:00Z,10.22,0.95
2019-01-02T14:48:00Z,10.28,2.15
2019-01-02T14:54:00Z,10.3,2.55
2019-01-02T15:00:00Z,10.405,2.51
2019-01-02T15:06:00Z,10.31,2.5
2019-01-02T15:12:00Z,10.31,2.5
2019-01-02T15:18:00Z,10.34,1.85
2019-01-02T15:24:00Z,10.35,1.63
2019-01-02T15:30:00Z,10.37,1.2
2019-01-02T15:36:00Z,10.37,1.06
2019-01-02T15:42:00Z,10.37,1.06
2019-01-02T15:48:00Z,10.41,0.85
2019-01-02T15:54:00Z,10.43,0.78
2019-01-02T16:00:00Z,10.5406666667,8.6
2019-01-02T16:06:00Z,10.47,11.21
2019-01-02T16:12:00Z,10.47,5.82
2019-01-02T16:18:00Z,10.47,0.43
2019-01-02T16:24:00Z,10.47,0.43
2019-01-02T16:30:00Z,10.48,0.44
2019-01-02T16:36:00Z,10.49,0.44
2019-01-02T16:42:00Z,10.49,0.44
2019-01-02T16:48:00Z,10.57,0.47
2019-01-02T16:54:00Z,10.59,0.48
2019-01-02T17:00:00Z,10.8041176471,0.46
2019-01-02T17:06:00Z,10.62,0.53
2019-01-02T17:12:00Z,10.68,0.88
2019-01-02T17:18:00Z,10.7,1.16
2019-01-02T17:24:00Z,10.7,1.16
2019-01-02T17:30:00Z,10.74,1.2
2019-01-02T17:36:00Z,10.79,0.6
2019-01-02T17:48:00Z,10.88,0.63
2019-01-02T17:54:00Z,10.9,0.79
2019-01-02T18:00:00Z,11.1325,0.58
2019-01-02T18:06:00Z,10.99,0.56
2019-01-02T18:12:00Z,11.04,0.61
2019-01-02T18:18:00Z,11.13,0.67
2019-01-02T18:24:00Z,11.15,0.68
2019-01-02T18:30:00Z,11.13,1.34
2019-01-02T18:36:00Z,11.14,6.62
2019-01-02T18:42:00Z,11.15,11.68
2019-01-02T18:48:00Z,11.13,6.1
2019-01-02T18:54:00Z,11.13,4.71
2019-01-02T19:00:00Z,11.0685714286,19.02
2019-01-02T19:06:00Z,11.15,15.06
2019-01-02T19:12:00Z,11.17,6.33
2019-01-02T19:18:00Z,11.17,2.74
2019-01-02T19:24:00Z,11.17,1.84
2019-01-02T19:30:00Z,11.12,1.6
2019-01-02T19:36:00Z,11.07,1.62
2019-01-02T19:42:00Z,11.05,1.76
2019-01-02T19:48:00Z,11.0,2.38
2019-01-02T19:54:00Z,10.99,2.53
2019-01-02T20:00:00Z,10.9533333333,2.4
2019-01-02T20:06:00Z,10.97,2.18
2019-01-02T20:12:00Z,10.99,2.03
2019-01-02T20:18:00Z,11.0,2.73
2019-01-02T20:24:00Z,11.0,2.96
2019-01-02T20:30:00Z,10.96,4.89
2019-01-02T20:36:00Z,10.94,5.07
2019-01-02T20:42:00Z,10.93,4.27
2019-01-02T20:48:00Z,10.94,11.82
2019-01-02T20:54:00Z,10.94,14.34
2019-01-02T21:06:00Z,10.93,8.1
2019-01-02T21:18:00Z,10.97,5.41
2019-01-02T21:24:00Z,10.98,7.21
2019-01-02T21:30:00Z,10.97,12.0
2019-01-02T21:36:00Z,10.96,8.7
2019-01-02T21:42:00Z,10.95,2.99
2019-01-02T21:54:00Z,10.93,34.22
2019-01-02T22:06:00Z,10.91,9.46
2019-01-02T22:12:00Z,10.91,16.25
2019-01-02T22:18:00Z,10.89,29.52
2019-01-02T22:24:00Z,10.89,33.94
2019-01-02T22:36:00Z,10.8,1.72
2019-01-02T22:42:00Z,10.8,1.59
2019-01-02T22:48:00Z,10.79,1.72
2019-01-02T22:54:00Z,10.79,1.76
2019-01-02T23:00:00Z,10.7016666667,1.69
2019-01-02T23:06:00Z,10.77,1.88
2019-01-02T23:12:00Z,10.74,2.1
2019-01-02T23:18:00Z,10.72,1.69
2019-01-02T23:24:00Z,10.71,1.56
2019-01-02T23:30:00Z,10.72,1.85
2019-01-02T23:36:00Z,10.72,2.88
2019-01-02T23:42:00Z,10.72,3.76
2019-01-02T23:48:00Z,10.7,0.94
2019-01-03T00:18:00Z,10.67,17.51
2019-01-03T00:24:00Z,10.67,23.35
2019-01-03T00:30:00Z,10.66,21.44
2019-01-03T00:36:00Z,10.62,17.5
2019-01-03T00:42:00Z,10.6,14.53
2019-01-03T00:48:00Z,10.6,9.62
2019-01-03T00:54:00Z,10.6,7.99
2019-01-03T01:00:00Z,10.5830769231,7.78
2019-01-03T01:06:00Z,10.61,9.77
2019-01-03T01:12:00Z,10.61,11.86
2019-01-03T01:18:00Z,10.6,10.11
2019-01-03T01:24:00Z,10.6,9.52
2019-01-03T01:30:00Z,10.6,13.75
2019-01-03T01:36:00Z,10.6,25.75
2019-01-03T01:42:00Z,10.59,35.64
2019-01-03T01:48:00Z,10.57,46.14
2019-01-03T01:54:00Z,10.57,48.76
2019-01-03T02:06:00Z,10.54,7.43
2019-01-03T02:12:00Z,10.54,11.14
2019-01-03T02:18:00Z,10.52,1.86
2019-01-03T02:30:00Z,10.53,16.13
2019-01-03T02:36:00Z,10.54,9.85
2019-01-03T02:42:00Z,10.55,2.67
2019-01-03T02:48:00Z,10.57,3.11
2019-01-03T02:54:00Z,10.57,3.22
2019-01-03T03:06:00Z,10.58,2.82
2019-01-03T03:12:00Z,10.57,2.53
2019-01-03T03:18:00Z,10.58,3.14
2019-01-03T03:24:00Z,10.58,3.29
2019-01-03T03:30:00Z,10.58,5.38
2019-01-03T03:36:00Z,10.56,2.82
2019-01-03T03:42:00Z,10.55,1.02
2019-01-03T03:48:00Z,10.53,11.25
2019-01-03T03:54:00Z,10.52,13.81
2019-01-03T04:00:00Z,10.3586666667,12.32
2019-01-03T04:06:00Z,10.43,8.88
2019-01-03T04:12:00Z,10.41,7.54
2019-01-03T04:18:00Z,10.42,6.62
2019-01-03T04:24:00Z,10.42,6.32
2019-01-03T04:30:00Z,10.41,11.13
2019-01-03T04:36:00Z,10.36,5.54
2019-01-03T04:42:00Z,10.34,1.55
2019-01-03T04:48:00Z,10.31,12.85
2019-01-03T04:54:00Z,10.3,15.68
2019-01-03T05:00:00Z,10.3066666667,8.11
2019-01-03T05:12:00Z,10.3,39.97
2019-01-03T05:24:00Z,10.29,0.85
2019-01-03T05:36:00Z,10.31,13.82
2019-01-03T05:42:00Z,10.32,1.05
2019-01-03T05:48:00Z,10.32,0.97
2019-01-03T05:54:00Z,10.32,0.94
2019-01-03T06:00:00Z,10.25,0.96
2019-01-03T06:06:00Z,10.32,0.9
2019-01-03T06:12:00Z,10.32,0.85
2019-01-03T06:18:00Z,10.34,1.03
2019-01-03T06:24:00Z,10.34,1.09
2019-01-03T06:30:00Z,10.32,0.96
2019-01-03T06:36:00Z,10.23,1.44
2019-01-03T06:42:00Z,10.19,1.74
2019-01-03T06:48:00Z,10.18,5.3
2019-01-03T06:54:00Z,10.17,6.49
2019-01-03T07:00:00Z,10.1641666667,5.36
2019-01-03T07:06:00Z,10.16,1.41
2019-01-03T07:30:00Z,10.17,13.05
2019-01-03T07:36:00Z,10.15,18.17
2019-01-03T07:42:00Z,10.15,14.21
